Itr,LossBefore,LossAfter,train-NumTrajs,train-EnvExecTime,Time,train-PolicyExecTime,train-MaxReturn,Time-Sampling,train-StdReturn,Time-Optimization,ItrTime,train-AverageReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MinReturn,n_timesteps,train-AveragePolicyStd
822,0.00082248746,-0.0067051793,264,10.463584661483765,11710.591599702835,0.8871617317199707,761.1780785028017,11.778985977172852,132.94787207533327,2.321596145629883,14.373161554336548,431.2359834973851,0.26665353775024414,182.70105363994796,84.09602234434074,32920000,0.2118665
823,0.0014109022,-0.006035609,269,10.444083213806152,11724.92021536827,0.8794362545013428,788.078416161311,11.746772050857544,141.28353784191907,2.294522523880005,14.30858063697815,427.5816254571404,0.2614176273345947,182.90643996633946,4.701160862134274,32960000,0.21177424
824,-5.2265124e-05,-0.0063556507,265,10.459974765777588,11739.29325389862,0.8895072937011719,800.8202469175926,11.776084423065186,145.2604789138605,2.3111655712127686,14.353203535079956,436.0660438745994,0.26012635231018066,184.38737036653595,12.077631519120404,33000000,0.21180029
825,0.0012108982,-0.0065109227,272,10.663978576660156,11753.835731744766,0.8848669528961182,728.7026123482605,11.976537942886353,126.03813632171386,2.2840192317962646,14.521212100982666,405.13743606743094,0.2547156810760498,175.41588082824936,28.842872714496387,33040000,0.21171653
826,0.0003459424,-0.005831571,266,10.525769710540771,11768.23550105095,0.8876492977142334,783.2299715009166,11.836955308914185,141.09002774975963,2.2780845165252686,14.379690885543823,438.3055580747954,0.25885581970214844,186.54310274967216,82.95940602617989,33080000,0.21148698
827,0.00024809726,-0.005599628,261,10.387346506118774,11782.440916061401,0.8693907260894775,783.0524868184463,11.67020583152771,136.06168280313835,2.2481014728546143,14.185147762298584,436.474000130374,0.26093482971191406,184.25351503939737,101.11068521511916,33120000,0.21132585
828,0.0012469254,-0.001796871,260,10.329807043075562,11796.565591573715,0.8643083572387695,739.3243312804206,11.610249996185303,125.19921688376562,2.2310173511505127,14.10393738746643,444.138107948429,0.2569115161895752,186.76920938815624,104.27257789182106,33160000,0.21145546
829,0.0017526373,-0.0032726012,265,10.38121771812439,11810.811687707901,0.8724102973937988,900.775572013701,11.6723473072052,133.85596239518054,2.2583394050598145,14.225110054016113,431.013665300353,0.2885754108428955,183.66829449212983,145.50253235154665,33200000,0.21156666
830,0.0012212374,-0.0048383437,257,10.409918069839478,11825.060523748398,0.8730630874633789,748.0905955009521,11.698381423950195,120.47350314359714,2.268986225128174,14.229684829711914,437.6845088883639,0.25650763511657715,184.12265511926614,230.3977713391679,33240000,0.21174732
831,0.0010335892,-0.003949753,266,10.270534038543701,11839.121536493301,0.8586831092834473,744.173526868289,11.54496145248413,137.21029137418594,2.232135057449341,14.04068899154663,431.6438644245457,0.25775599479675293,182.94580489894688,33.868698166721146,33280000,0.21189408
832,0.0011067912,-0.006898983,269,10.527074813842773,11853.5277633667,0.8780384063720703,736.9152672445467,11.826234579086304,136.59662543998752,2.2932932376861572,14.385767459869385,421.586654997344,0.2603456974029541,181.65615440253643,1.9214127220920587,33320000,0.2119187
833,0.0028505593,-0.007468823,263,10.294490337371826,11867.64273571968,0.8599975109100342,741.259976743858,11.571287870407104,142.95136321540843,2.2419159412384033,14.09426999092102,431.1695763522862,0.275193452835083,180.80647035759256,101.52871018583059,33360000,0.2118478
834,0.0016413517,-0.007821394,267,10.250348329544067,11881.68181681633,0.8603227138519287,823.622821827977,11.5241858959198,130.36303212123414,2.230769634246826,14.01876974105835,418.23946113280635,0.258089542388916,179.19481440309147,3.2692987256714954,33400000,0.21170521
835,0.00351218,-0.00803308,264,10.273056030273438,11895.755437135696,0.8524694442749023,747.6817394546562,11.53852105140686,128.40636909859555,2.225888729095459,14.053147792816162,429.9008765435715,0.28272151947021484,182.73268750583247,-5.4016418154139565,33440000,0.21160634
836,0.0019717724,-0.007696717,255,10.336269855499268,11909.946172237396,0.875103235244751,756.7020158330164,11.630779266357422,129.2026562262873,2.268218994140625,14.170795202255249,450.17223182989284,0.2660341262817383,186.9864423240141,118.52686488116102,33480000,0.211532
837,0.0024232217,-0.00770636,266,10.237060546875,11923.99634194374,0.8538756370544434,763.4961149420751,11.503082036972046,136.94101840962261,2.2599525451660156,14.029476404190063,426.27069091106966,0.2605252265930176,181.87293916727248,156.02691352765726,33520000,0.21151252
838,0.0027707233,-0.008047885,275,10.21941876411438,11938.019075632095,0.8628273010253906,795.2049886967471,11.499051809310913,131.57667575005263,2.216728925704956,14.002246379852295,414.7687552924808,0.28060460090637207,179.7064257443982,29.850924639081462,33560000,0.211543
